Time	Text	Length	Number	Rocket_type	Rocket_number	for_search	Updated_date	Update_info	memo	
05/01 07:00:00	【今日の人工衛星】5/1 1978年：DMSP 5D-1/F03 アメリカ空軍の気象衛星。DMSP(防衛用気象衛星プログラム)の一環。暗い光を観測できる仕様のため、「宇宙から見た地球の夜景」も当衛星群により作成された	108	n050101d							
05/02 07:00:00	【今日の人工衛星】5/2 1998年：イリジウム69,イリジウム71 衛星携帯電話の1つイリジウムを提供している衛星。合計66個の衛星+予備機によって運営されている	82	n050201d							
05/03 07:00:00	【今日の人工衛星】5/3 2000年：GOES-11 アメリカの気象衛星GOESシリーズの11号機。2011年12月にGOES-15に任務を引き継ぐまで西経135度で西海岸・太平洋を観測。なお1986年の同日には7番目のGが打ち上げられたが、これは失敗している	130	n050301d							
05/04 07:00:00	【今日の人工衛星】5/4 1989年：マゼラン NASAの金星探査機。スペースシャトル・アトランティス（STS-30）で打ち上げられた。スペースシャトルから打ち上げた初の探査機。1990年～94年にかけて観測を行った。	109	n050401d							
05/05 07:00:00	【今日の人工衛星】5/5 2009年：STSS ATRR アメリカの次世代早期警戒衛星の実証衛星。Space Tracking and Surveillance Systemの略、弾道ミサイル発射を早期に検出する	106	n050501d							
05/06 07:00:00	【今日の人工衛星】5/6 1965年：リンカーン試験衛星(LES-2)/リンカーン測定体(LCS-1) タイタンIIIAロケットの最後の試作機で打ち上げた物体。アルミ製のボール。	89	n050601d							
05/07 07:00:00	【今日の人工衛星】5/7 1992年：STS-49 エンデバーの最初の飛行。静止軌道投入を失敗したインテルサット6号を回収、リブーストモーターにより静止軌道への投入を実施。3人の飛行士の船外活動は世界初だった	104	n050701d							
05/08 07:00:00	【今日の人工衛星】5/8 2001年：XM-1 アメリカの衛星デジタルラジオ放送「XMサテライトラジオ」の衛星。車載アンテナを考慮し、静止軌道上から、通常の放送衛星より強く指向性の高い電波を発信。XM-1は現在予備機	108	n050801d							
05/09 07:00:00	【今日の人工衛星】5/9 2003年：はやぶさ（MUSES-C） 小惑星探査機、工学実験機。小惑星1998-SF36(打ち上げ後にイトカワと命名)との往復、サンプルリターンに成功。2010年6月13日に地球に帰還。	107	n050901d	J_M5	5	J_M5_5				
05/09 13:29:25	★2003年5月9日13時29分25秒、第20号科学衛星MUSES-C"はやぶさ"はM-Vロケット5号機により内之浦宇宙空間観測所より打ち上げられました。動画⇒https://www.youtube.com/watch?v=KCpvYn6pf8s #Hayabusa_HappyLaunchDay	148	n050901t1	J_M5	5	J_M5_5				
06/09 12:30:00	【お帰りはやぶさ・帰還15周年】6/9 12:30-15:00 最後の軌道修正となるTCM-4完了。4/4-6、5/1-4、5/23-27、6/3-5とあわせ5回の軌道修正でオーストラリア・ウーメラ砂漠の着陸地点へ誘導完了 	112	n050901t2	J_M5	5	J_M5_5	20240614	修正		
06/13 19:54:00	【お帰りはやぶさ・帰還15周年】6/13 19:54 イトカワのサンプルを格納したカプセルの切り離しに成功 	54	n050901t3	J_M5	5	J_M5_5	20240614	修正		
06/13 22:02:00	【お帰りはやぶさ・帰還15周年】6/13 22:02 はやぶさ、最後の地球撮影。この写真 https://www.isas.jaxa.jp/j/topics/topics/2010/0618_3.shtml を内之浦局に送信中に内之浦の水平線の向こう側に入り通信途絶(22:28)	140	n050901t4	J_M5	5	J_M5_5	20240614	修正		
06/13 22:28:00	【お帰りはやぶさ・帰還15周年】6/13 22:28 はやぶさ、内之浦局の観測圏外になり通信途絶。最後の信号はhttps://hayabusa.jaxa.jp/message/message_049.html に掲載されている 	114	n050901t5	J_M5	5	J_M5_5	20240614	修正		
06/13 22:51:00	【お帰りはやぶさ・帰還15周年】6/13 22:51 はやぶさ、地球大気圏再突入。22:56にカプセルからパラシュートが展開され、23:08に着陸を果たした。 	80	n050901t6	J_M5	5	J_M5_5	20240614	修正		
05/10 07:00:00	【今日の人工衛星】5/10 1999年：風雲1C号 中国の気象衛星。中国は静止軌道・極軌道を併用し、これは極軌道。2007/1/11に衛星攻撃兵器実験で破壊され、現在は多数のデブリとなって軌道上を漂っている	103	n051001d							
05/11 07:00:00	【今日の人工衛星】5/11 2009年：STS-125 スペースシャトルアトランティスによるハッブル宇宙望遠鏡修理の5回目(最後)の飛行。緊急時の救援ができるよう、エンデバーも地上で待機(STS-400)していた	106	n051101d							
05/12 07:00:00	【今日の人工衛星】5/12 1993年：ARASENE フランスのアマチュア無線中継衛星。大学生によって製作された。VHFアンテナは打ち上げ直後に故障、SHFアンテナも電源の問題から打ち上げ3ヶ月後に利用不可に…	106	n051201d							
05/13 07:00:00	【今日の人工衛星】5/13 1960年：Echo-X(1号) 世界初の受動型通信衛星となることを目指してアメリカが打ち上げた衛星。打ち上げは失敗。気球の形をしており、電波を単純に反射して衛星中継を行う	100	n051301d							
05/14 07:00:00	【今日の人工衛星】5/14 1973年：スカイラブ1号 アメリカ初の宇宙ステーション 2009年：ハーシェル宇宙望遠鏡 地球-太陽の第2ラグランジュ点を中心とする直径70万kmのリサジュー軌道を周回する赤外線望遠鏡	107	n051401d							
05/14 07:01:00	【今日の人工衛星】5/14 2009年：プランク衛星 地球-太陽の第2ラグランジュ点に投入された、宇宙背景放射を観測する衛星。NASAの衛星と比べ高感度・高分解能で補完する関係。ハーシェル宇宙望遠鏡と同時打ち上げ。	107	n051402d							
05/15 07:00:00	【今日の人工衛星】5/15 1963年：マーキュリー・アトラス9号 マーキュリー計画最後、レロイ・ゴードン・クーパーJr.による有人飛行。1日以上の宇宙滞在はアメリカ初。そして、現時点では最後の単独宇宙飛行である。	107	n051501d							
05/16 07:00:00	【今日の人工衛星】5/16 2000年：Simsat-1,2 ロシア「ロコット」ロケット(ICBMの再利用)で打ち上げた実験機。イリジウム衛星の原寸大模型。2011年：STS-134 エンデバー号最後の打ち上げ。当初の打上予定は4月30日だった。	123	n051601d							
05/17 07:00:00	【今日の人工衛星】5/17 1966年：アジェナ標的機(GATV-5004) ジェミニ9号がドッキング実験を行うときの対象機。ただし軌道投入に失敗し、実験は延期。6/1に打ち上げた新しい標的機ともドッキングは失敗	106	n051701d							
05/18 07:00:00	【今日の人工衛星】5/18 1969年：アポロ10号 アポロ計画4番目の打ち上げにして、月軌道上での着陸船の実験を行う最終リハーサル。世界初のカラーテレビ生中継も実施。着陸船は上空15kmまで接近した。	101	n051801d							
05/19 07:00:00	【今日の人工衛星】5/19 1971年：マルス2号 旧ソ連の火星探査機。軌道上からの探査と、着陸船を保有。着陸船は初めて火星表面に到達した人工物となったが、着陸時に故障して動作せず。軌道上探査機は3号と合同で探査を続けた	110	n051901d							
05/20 07:00:00	【今日の人工衛星】5/20(UTC) 2010年：あかつき、IKAROS 日本の金星探査機とソーラー電力セイル実験機。あかつきの初回の金星軌道投入は失敗、IKAROSの実験が先行して大成功を収めた。あかつきも5年後の2015年に軌道投入に成功、科学観測を行っている。	133	n052001d	J_H2A	17	J_H2A_17	20170520	追記		
05/21 06:58:22	★2010年の今日5/21 6:58:22、H-IIAロケット17号機で金星探査機あかつき・ソーラー電力セイル実験機IKAROS、相乗り衛星4基が打ち上げられました。	83	n052001t1	J_H2A	17	J_H2A_17				
05/21 07:10:22	★H-IIAロケット17号機の打上から12分後、ハヤト（鹿児島大学）、WASEDA-SAT2（早稲田大学）、Negai☆″（創価大学）の3基が分離しました。その後、ハヤトとNegai☆″は通信にも成功しました。	105	n052001t2	J_H2A	17	J_H2A_17				
05/21 07:25:22	★H-IIAロケット17号機の打上から27分後、金星探査機あかつきが分離されました。	42	n052001t3	J_H2A	17	J_H2A_17				
05/21 07:40:22	★H-IIAロケット17号機の打上から42分後、ソーラー電力セイル実験機IKAROSが分離されました。その後、全ての実験に成功、逆回転に切り替える実験にも成功しました。	84	n052001t4	J_H2A	17	J_H2A_17				
05/21 07:45:22	★H-IIAロケット17号機の打上から47分後、しんえん(UNITEC-1)が分離されました。22大学・高専が参加、地球の重力圏を離脱した初めての民間宇宙機となりました。電波は受信できたものの、電波の解読は行えておらず、ミッションとしては、ミニマムサクセスに到達していません。	138	n052001t5	J_H2A	17	J_H2A_17				
05/20 07:01:00	【今日の人工衛星】5/20(UTC) 2020年：こうのとり9号機(HTV-9) 宇宙ステーション補給機。6.2トンの物資をISSに無事輸送した。こうのとりは打ち上げに用いられたH-IIBロケットとともに、9号機をもって退役した。	115	n052002d	J_H2B	9	J_H2B_9	20230521	追記		
05/21 02:31:00	★2020年の今日5/21 2:31:00、H-IIBロケット9号機で宇宙ステーション補給機こうのとり9号機(HTV-9)が打ち上げられました。打ち上げ前には、新型コロナウイルス感染症に対応する医療従事者などへの感謝を込めたライトアップも行われました。	126	n052002t1	J_H2B	9	J_H2B_9	20230521	追記		
05/21 07:00:00	【今日の人工衛星】5/21 1986年：フォトン2号　旧ソ連の軌道上物質化学実験機。これまで後継機含め15機が打ち上げ、14機が成功し軌道上での実験とサンプル回収を実現している	88	n052101d							
05/22 07:00:00	【今日の人工衛星】5/22 1996年：STS-77,スパルタン207号 エンデバー号の飛行と、宇宙に輸送された衛星2機。スパルタンは折りたたまれた拡張アンテナの実験に成功し、再び回収されて地球に帰還した	102	n052201d							
05/23 07:00:00	【今日の人工衛星】5/23 1995年：GOES-9 アメリカの気象衛星。3軸制御方式では2番目の機体。日本のMTSAT-1打ち上げ失敗、GMS-5の老朽化を受けて2003年5月から2005年7月まで日本の空を観測	107	n052301d							
