Time	Text	Length	Number	Rocket_type	Rocket_number	for_search	Updated_date	Update_info	memo	
09/03 07:00:00	【今日の人工衛星】9/3 (14:00打上) 1982年：きく4号 N-Iロケット7号機で打上。三軸制御、太陽電池パドルの展開、能動式熱制御などの技術試験・確認が目的で、実験は成功した	92	n090301d	J_N1	7	J_N1_7				
09/03 14:00:00	★1982年の今日9/3 14:00、N-Iロケット7号機で技術試験衛星きく4号が打ち上げられました。	51	n090301t1	J_N1	7	J_N1_7				
09/04 07:00:00	【今日の人工衛星】9/4(UTC) 2010年：Chinasat 6A 中国の通信放送衛星。長征3号乙ロケットで打上。設計寿命は15年。	68	n090401d							
09/05 07:00:00	【今日の人工衛星】9/5 1977年：ボイジャー1号 木星と土星を観測した探査機、現在「地球から最も遠い距離に到達した人工物体」である。末端衝撃波面を通過中であり（通過したとの説もあり）、太陽系を脱出する初の探査機となる見込み	113	n090501d							
09/05 07:01:00	【今日の人工衛星】9/5(UTC) (日本時間6日4:11打上) 1989年：ひまわり4号。 気象観測衛星。大きなトラブルもなく、順調に運用され、2002年2月に運用終了。	86	n090502d	J_H1	5	J_H1_5				
09/06 04:11:00	★1989年の今日9/6 4:11、H-Iロケット5号機で気象衛星ひまわり4号が打ち上げられました。	50	n090502t1	J_H1	5	J_H1_5				
09/06 07:00:00	【今日の人工衛星】9/6 2008年：GeoEye-1 アメリカGeoEye社の地球観測衛星。分解能は40cm。googleも衛星画像を購入してgoogle map等に使用している。	91	n090601d							
09/07 07:00:00	【今日の人工衛星】9/7 1995年：STS-69 スペースシャトル・エンデバーの飛行。太陽コロナ観測衛星スパルタンの放出と回収、国際宇宙ステーションを建設するのに必要な組立て技術のテストなどを行った	100	n090701d							
09/08 07:00:00	【今日の人工衛星】9/8 2000年：STS-106 スペースシャトル・アトランティスの飛行。国際宇宙ステーション(ISS)建設の6回目の飛行。スラスタ噴射によるISSの軌道修正も実施	92	n090801d							
09/09 07:00:00	【今日の人工衛星】9/9 (14:30打上) 1975年：きく1号 宇宙開発事業団(NASDA)初の人工衛星。N-Iロケット1号機で打上。人工衛星の軌道投入、通信、姿勢制御等の技術習得が目的。実験は無事成功した。	106	n090901d	J_N1	1	J_N1_1				
09/09 14:30:00	★1975年の今日9/9 14:30、N-Iロケット1号機で技術試験衛星きく1号が打ち上げられました。	51	n090901t1	J_N1	1	J_N1_1				
09/10 07:00:00	【今日の人工衛星】9/10 (17:20打上) 2002年：USERS 無人の自律帰還型回収システムであり、軌道上で宇宙実験を行った結果を地上に持ち帰れるシステム。超電導材料製造実験を行い、無事サンプル回収に成功	106	n091001d	J_H2A	3	J_H2A_3				
09/10 17:20:00	★2002年の今日9/10 17:20、H-IIAロケット3号機でデータ中継衛星こだま・次世代型無人宇宙実験システムUSERSが打ち上げられました。	74	n091001t1	J_H2A	3	J_H2A_3				
09/10 07:01:00	【今日の人工衛星】9/10 (17:20打上) 2002年：こだま データ中継衛星。インド洋上の静止軌道に位置し、低軌道の衛星との高速・長時間通信を実現。278Mbpsの衛星間通信実験も成功している。2017年8月に停波。 https://www.satnavi.jaxa.jp/ja/news/2017/08/07/580/index.html	173	n091002d	J_H2A	3	J_H2A_3	20170808	追記		
09/10 07:02:00	【今日の人工衛星】9/10(UTC) (日本時間11日2:01打上) 2009年：HTV-1 宇宙ステーション補給機の1号機。H-IIBロケット初回の打上でもあったが、無事ミッションに成功。この時点では愛称は付いていない	110	n091003d	J_H2B	1	J_H2B_1				
09/11 02:01:00	★2009年の今日9/11 2:01、H-IIBロケット試験機1号機で宇宙ステーション補給機HTV-1が打ち上げられました。	62	n091003t1	J_H2B	1	J_H2B_1				
09/11 07:00:00	【今日の人工衛星】9/11 (13:35打上) 2006年：情報収集衛星光学2号機(IGS-3A) 日本の偵察衛星。H-IIA6号機の失敗をうけ、今回から1機ずつの打上となった。2013年11月に運用停止、2016年10月に大気圏に再突入して消滅した。	126	n091101d	J_H2A	10	J_H2A_10	20170911	修正		
09/11 13:35:00	★2006年の今日9/11 13:35、H-IIAロケット10号機で情報収集衛星光学2号機が打ち上げられました。	56	n091101t1	J_H2A	10	J_H2A_10	20170911	修正		
09/11 07:01:00	【今日の人工衛星】9/11 (20:17打上) 2010年：みちびき 準天頂衛星初号機。GPS補完信号を送信し精度を補完。twitter上では@QZSS が毎日挨拶をしてくれていましたが、内閣府に移管されて挨拶終了となりました	113	n091102d	J_H2A	18	J_H2A_18				
09/11 20:17:00	★2010年の今日9/11 20:17、H-IIAロケット18号機で準天頂衛星みちびきが打ち上げられました。	54	n091102t1	J_H2A	18	J_H2A_18				
09/12 07:00:00	【今日の人工衛星】9/12 1959年：ルナ2号 旧ソ連の月探査機。月の表面に到達した初の宇宙船（1号は着陸できなかった)。太陽風の観測、月の磁場（が無いことを）観測を行った	87	n091201d							
09/13 07:00:00	【今日の人工衛星】9/13 1961年：マーキュリー・アトラス4号 アメリカの有人宇宙飛行計画マーキュリー計画の試験飛行。宇宙船およびアトラス・ロケットの試験。地球を1周させた。	89	n091301d							
09/14 07:00:00	【今日の人工衛星】9/14 (10:31打上) 2007年：かぐや 日本の月探査機。2つの子衛星をもち、さまざまな観測を行った。NHKのハイビジョンカメラが撮影した映像が話題になり、宇宙への関心が高まった	102	n091401d	J_H2A	13	J_H2A_13				
09/14 10:31:00	★2007年の今日9/14 10:31、H-IIAロケット13号機で月探査機かぐやが打ち上げられました。	52	n091401t1	J_H2A	13	J_H2A_13				
09/14 07:01:00	【今日の人工衛星】9/14 (14:00打上) 2013年：ひさき 世界初の太陽系内惑星専用の宇宙望遠鏡。イプシロンロケットで打ち上げる小型科学衛星シリーズSPRINTの1号機にあたる。主に惑星の大気を観測。イプシロンロケットの初打上にもあたる	122	n091402d	J_E	1	J_E_1				
09/14 14:00:00	★2014年の今日9/14 14:00、イプシロンロケット試験機で惑星分光観測衛星ひさき(SPRINT-A)が打ち上げられました。	65	n091402t1	J_E	1	J_E_1				
09/15 07:00:00	【今日の人工衛星】9/15 1989年：Bion9 旧ソ連の生物実験衛星。1971年の米ソの宇宙開発協力の協定に基づき、ソ連のゼニットを流用し生物実験を行った。9号では欧州も実験に参加	92	n091501d							
09/16 07:00:00	【今日の人工衛星】9/16 (14:00打上) 1978年：じきけん プラズマ・磁気圏観測衛星。M-3Hロケット3号機で打上。近地点227km、遠地点30,051kmという長楕円軌道で60mアンテナを用い観測を実施	107	n091601d	J_M3H	3	J_M3H_3				
09/16 14:00:00	★1988年の今日9/16 14:00、M-3Hロケット3号機でプラズマ・磁気圏観測衛星じきけんが打ち上げられました。	59	n091601t1	J_M3H	3	J_M3H_3				
09/16 07:01:00	【今日の人工衛星】9/16 (18:59打上) 1988年：さくら3号b H-Iロケット4号機で打ち上げられた通信衛星。実験衛星としては3bが最後で、この後は民間の実用衛星が打ち上げられる(1989年のJCSAT～)	108	n091602d	J_H1	4	J_H1_4				
09/16 18:59:00	★1988年の今日9/16 18:59、H-Iロケット4号機で通信衛星さくら3号bが打ち上げられました。	52	n091602t1	J_H1	4	J_H1_4				
09/17 07:00:00	【今日の人工衛星】9/17 2009年：Meteor-M（ロシアの気象衛星）Fregat/IRIS（技術試験衛星）Sumbandila（南アフリカの地球観測衛星）などがSoyuz 2-1bでまとめて打上	101	n091701d							
09/18 07:00:00	【今日の人工衛星】9/18 1964年：アポロA-102（SA-7） サターンI型ロケットの試験飛行。アポロ司令・機械船（模擬）を搭載して発射	71	n091801d							
09/19 07:00:00	【今日の人工衛星】9/19 1988年：オフェク1 イスラエルの偵察衛星の初号機。自力で衛星を打ち上げた世界で8番目の国。通常ロケットは自転を活かすため東に打ち上げるが、イスラエルは西に向けて打ち上げる	101	n091901d							
09/20 07:00:00	【今日の人工衛星】9/20 1966年：サーベイヤー2号 アメリカの無人月探査機。中間軌道修正に失敗したため月にはうまく着陸できず（衝突した）	71	n092001d							
09/21 07:00:00	【今日の人工衛星】9/21 1981年：Oreol 3 旧ソ連が諸外国と共同で推進したIntercosmos計画の衛星の1つ。12個の実験機器（うち4個が旧ソ連、7個はフランス、1個はソ仏が共同で開発）を搭載した	106	n092101d							
09/22 07:00:00	【今日の人工衛星】9/22(UTC、日本時間23日6:36打上) 2006年：ひので 太陽観測衛星。M-Vロケット7号機で打上（M-V最後の打上）。他の衛星に比べ非常に高い分解能で太陽を精密に観測できる	101	n092201d	J_M5	7	J_M5_7				
09/23 06:36:00	★2006年の今日9/23 6:36、M-Vロケット7号機で太陽観測衛星ひのでが打ち上げられました。	50	n092201t1	J_M5	7	J_M5_7				
09/22 07:01:00	【今日の人工衛星】9/22(UTC、日本時間23日6:36打上) 2006年：HIT-SAT 北海道キューブサット開発チームによる、民生部品を使って作られたアマチュア衛星。M-Vロケット7号機の打上のサブペイロードとして打上。	113	n092202d	J_M5	7	J_M5_7				
09/22 07:02:00	【今日の人工衛星】9/22(UTC、日本時間23日6:36打上) 2006年：SSSAT(ソーラーセイルサテライト) ソーラーセイルに必要な膜面展開実験を行う衛星。M-Vロケット7号機の打上のサブペイロード。信号を正常に受信できず、各種のデータを得ることは出来ず	131	n092203d	J_M5	7	J_M5_7				
09/23 07:00:00	【今日の人工衛星】9/23 1969年：コスモス300号 旧ソ連の月探査機。月からのサンプルリターンを目指したが4段目の点火に失敗し月に向かえず、ルナと命名されなかった。打上はルナ15号と16号の間。	100	n092301d							
09/24 07:00:00	【今日の人工衛星】9/24 1999年：IKONOS 2 SPACEIMAGING社(現GeoEye社)が打ち上げたリモートセンシング衛星。アメリカの規制緩和により偵察衛星の技術を転用した衛星。分解能は1m。	104	n092401d							
09/25 07:00:00	【今日の人工衛星】9/25 1992年：マーズ・オブザーバー アメリカの火星探査機。表面や大気を観測予定だったが火星近くで通信が途絶。原因は配管の破裂等が考えられている。	85	n092501d							
09/26 07:00:00	【今日の人工衛星】9/26(UTC) 1997年：STS-86 アトランティスのフライト。ロシアの宇宙ステーション「ミール」との7回目のミッション。ミールにとどまっていたアメリカの宇宙飛行士の交代も行われた。	104	n092601d							
09/27 07:00:00	【今日の人工衛星】9/27 2007年：ドーン アメリカの小惑星探査機。準惑星ケレスおよび小惑星ベスタを観測予定であり、2011年7月16日にはベスタの周回軌道に投入された。	87	n092701d							
09/28 07:00:00	【今日の人工衛星】9/28 1971年：しんせい M-4Sロケット3号機で打ち上げた日本初の科学衛星（おおすみ、たんせいは試験衛星）であり、初めての本格的な人工衛星である	85	n092801d	J_M4S	3	J_M4S_3				
09/28 13:00:00	★1971年の今日9/28 13:00、M-4Sロケット3号機で科学衛星しんせいが打ち上げられました。	51	n092801t1	J_M4S	3	J_M4S_3				
09/29 07:00:00	【今日の人工衛星】9/29 1988年：STS-26 ディスカバリーによる、チャレンジャー号事故後初の打上げ。"Return to Flight"（無事帰還することがミッション）とされた。データ中継衛星TDRS-3を放出	110	n092901d							
09/30 07:00:00	【今日の人工衛星】9/30 2001年：Starshine 3 学生教育用のアメリカのミラーボール衛星。1,500人の学生がミラーを磨いた。PICOSAT 9, PCSAT,Sapphireと同時打上。2003/1/21に大気圏に突入	117	n093001d							
10/01 07:00:00	【今日の人工衛星】10/1 2003年：Horizons-1 スカパーJSATとIntelsatが共同所有する通信衛星。北米・ハワイをカバー範囲とし、JCSAT-2Aと連携してアジア・オセアニアと通信可能。設計寿命は15年。	112	n100101d							
10/02 07:00:00	【今日の人工衛星】10/2 1966年：ESSA 3 アメリカの気象衛星。太陽同期軌道から観測を行う。ESSA 1の代替機で、雲を撮影するAVCSのみだったESSA 1に比べ可視赤外放射計が追加された	100	n100201d							
10/03 07:00:00	【今日の人工衛星】10/3 1962年：マーキュリー・アトラス8号 マーキュリー計画の有人飛行5回目。地球を6周。ウォルター・シラー飛行士はジェミニ6-A号・アポロ7号でも地球を周回、3つの計画全てで地球を周回したのは彼のみである	115	n100301d							
10/03 07:01:00	【今日の人工衛星】10/3 1985年：STS-51-J スペースシャトル・アトランティスの最初の飛行。ミッション自体は米軍の軍事ミッションで軍の通信衛星を2機放出	82	n100302d							
10/04 07:00:00	【今日の人工衛星】10/4 1957年：スプートニク1号 旧ソ連が世界で始めて打ち上げた人工衛星。バイコヌール宇宙基地よりR-7ロケットで打上。当時のアメリカにスプートニクショックを引き起こした。92日後の翌年1月4日に大気圏再突入	116	n100401d							
10/05 07:00:00	【今日の人工衛星】10/5 1984年：STS-41-G チャレンジャーの打上。初めてシャトルに定員の7人が搭乗し、居住性を検証。キャスリン・サリバン宇宙飛行士がアメリカ人の女性としては初めての船外活動(EVA)を実施。	110	n100501d							
10/06 07:00:00	【今日の人工衛星】10/6 1990年：ユリシーズ 米・欧共同事業で実施された太陽探査機。太陽の北極・南極を観測。スペースシャトルで打上。地球を出発後まず木星に向かい、スイングバイで太陽の両極を観測する軌道に投入された。	110	n100601d							
10/06 07:01:00	【今日の人工衛星】10/6(UTC,日本時間7日4:00) 2000年：N-SAT-110(SUPERBIRD-D,JCSAT-110) 旧宇宙通信、旧JSATが共同で利用した通信衛星。アリアン4ロケットで打上。110度CS放送を実施	117	n100602d							
10/07 07:00:00	【今日の人工衛星】10/7 2002年：STS-112 アトランティスの打上。外部燃料タンクに取り付けられたカメラによって、アトランティスの軌道への上昇の様子が始めて撮影されたミッション。国際宇宙ステーションの建築を実施。	111	n100701d							
10/08 07:00:00	【今日の人工衛星】10/8 2009年：WorldView-2 米DigitalGlobe社の地球観測衛星。分解能は最高で0.46m、既存のQuickbirdに比べて5倍の撮影能力を持っている。	97	n100801d							
10/09 07:00:00	【今日の人工衛星】10/9 2007年：おきな(かぐやからの分離) 月探査機かぐやの子衛星、かぐやが月の影にいるときの通信の中継を通じ月の重力を測定。同じく子衛星のおうなは10/12に分離、VLBIによる月周回運動の詳細観測を実施	115	n100901d							
10/10 07:00:00	【今日の人工衛星】10/10 1999年：DirecTV 1-R 衛星放送DirecTV用の衛星、DirecTV 1の代替機。2011年現在も運用中。	75	n101001d							
10/11 07:00:00	【今日の人工衛星】10/11 1968年：アポロ7号 アポロ計画初の有人飛行にしてアメリカの宇宙ミッション初の3人による飛行。マーキュリー・ジェミニ・アポロ計画のすべてに搭乗した唯一の宇宙飛行士であるシラーが船長であり、機材の信頼性を検証	119	n101101d							
10/12 07:00:00	【今日の人工衛星】10/12 1964年：ボスホート1号 旧ソ連の有人宇宙飛行。始めて複数の人間(3人)が宇宙に送り込まれたミッション。これはアメリカが2人飛行をジェミニ計画で成功させる前の出来事であった(3人飛行は1968/10/11)	119	n101201d							
10/12 07:01:00	【今日の人工衛星】10/12 2007年：おうな(かぐやからの分離) 月探査機かぐやの子衛星、VLBIによる月周回運動の詳細観測を実施。同じく子衛星のおきなは10/9に分離、かぐやが月の影にいるときの通信の中継を通じ月の重力を測定。	116	n101202d							
10/13 07:00:00	【今日の人工衛星】10/13(UTC,日本時間翌14日5:56) 2006年：LDREX 2 JAXAがアリアンVのサブペイロードとして打ち上げた、ETS-VIII向けの大型展開アンテナ展開実験用モジュール。展開実験は成功した。	114	n101301d							
10/14 07:00:00	【今日の人工衛星】10/14 1999年：CBERS-1 中国とブラジルが共同で打ち上げた資源探査・地球観測衛星。長征ロケット4Bで打上。2003年8月に運用停止。	82	n101401d							
10/15 07:00:00	【今日の人工衛星】10/15 1997年：カッシーニ 米・欧州の打ち上げた土星探査機。金星・金星・地球・木星の順にスウィングバイし2004年に土星軌道に投入。衛星を多数発見、また、探査機ホイヘンスを衛星タイタンに着陸させた。	112	n101501d							
10/16 07:00:00	【今日の人工衛星】10/16 1975年：GOES 1 アメリカの気象衛星GOESシリーズ初代。インド洋上に位置し気象観測を行った。引退は1985年3月。	77	n101601d							
10/17 07:00:00	【今日の人工衛星】10/17 2007年：GPS-2R17 GPS衛星。アトラスIIにて打上。新型GPS衛星（2シリーズ）の4号機	65	n101701d							
10/18 07:00:00	【今日の人工衛星】10/18 1989年：ガリレオ NASAの木星探査機。チャレンジャー号事故により打上が延期、金星・地球・地球の順にスウィングバイし1995年に木星軌道に投入。SL9彗星の木星衝突などを観測し、2003年観測に終了。	117	n101801d							
10/19 07:00:00	【今日の人工衛星】10/19 2006年：MetOp-A 欧州気象機関が製作した、欧州最初の極軌道気象衛星、10種類の機器を搭載して気象観測を行い、気象予報の精度向上に寄与	86	n101901d							
10/20 07:00:00	【今日の人工衛星】10/20 1995年：STS-73 スペースシャトル・コロンビア号の飛行。2回目の微少重力実験室(USML-2)を搭載し、微少重力下の化学実験を実施した	86	n102001d							
10/21 07:00:00	【今日の人工衛星】10/21 1998年：MaqSat 3,ARD アリアンVロケットの試験機3号機で打ち上げ（1,2号機と異なり、初めて打上に完全に成功）。MaqSat 3はW2静止衛星投入可能性の検証、ARDは大気圏再突入の実験が目的	119	n102101d							
10/22 07:00:00	【今日の人工衛星】10/22 2008年：チャンドラヤーン1号 インド初の月探査機。名前は直訳すると「月の乗り物」という意味。将来の軟着陸に備えたプローブ投下も実施。約1年で通信が途絶しミッション終了	100	n102201d							
10/23 07:00:00	【今日の人工衛星】10/23 2007年：STS-120 ディスカバリーによる飛行、国際宇宙ステーション建設(10A)に従事。映画「スター・ウォーズ」公開30周年記念行事として、エピソード6で実際に使われたルークのライトセーバーが運ばれた	119	n102301d							
10/24 07:00:00	【今日の人工衛星】10/24 2007年：嫦娥1号 中国初の月探査機。名前は中国の神話上の人物に由来。月面の撮影などの観測を行い、2009年3月に月面に衝突しミッション終了。	87	n102401d							
10/25 07:00:00	【今日の人工衛星】10/25 1965年：ジェミニ6号(標的機) 軌道上の宇宙船のランデブー・ドッキング実験を目的とした標的機だったが打上に失敗。実験は7号(12/4打上)とのランデブーにより実現した	100	n102501d							
10/26 07:00:00	【今日の人工衛星】10/26 2006年：STEREO アメリカの太陽観測衛星。2機の衛星を打ち上げて太陽の活動（太陽フレア、太陽風、コロナ質量放出（CMEs））を立体的に捉えることを目的とした	97	n102601d							
10/27 07:00:00	【今日の人工衛星】10/27 2005年：XI-V 東京大学中須賀研究室の製作した衛星。XI-IVのバックアップ機で当初は打上予定がなかったものの、太陽電池の実証ミッションが提案されたことで打ち上げられることになった	108	n102701d							
10/28 07:00:00	【今日の人工衛星】10/28(UTC,日本時間29日6:51) 2010年：BSAT-3b 日本の衛星放送を担う衛星。BS-1,3,13,15chを担当すると共に他chの予備機としても活用中、2016年時点でも運用中。	109	n102801d				20170515	修正		
10/29 07:00:00	【今日の人工衛星】10/29 1998年：STS-95 ディスカバリーによる25回目の飛行。アメリカ人初の地球周回飛行をしたョン・ハーシェル・グレン飛行士が77歳という宇宙飛行の最高齢記録を樹立。向井千秋飛行士の2回目の飛行でもある	116	n102901d							
10/30 07:00:00	【今日の人工衛星】10/30 2003年：SERVIS-1 日本の実証衛星。民生部品を人工衛星に活用可能かの実験を行った。全てのモジュールは予定通り動作した。	79	n103001d							
10/31 07:00:00	【今日の人工衛星】10/31 1973年：ビオン1号 旧ソ連の衛星。ネズミ、カメ、キノコベッド、カブトムシ、細菌胞子を搭載し、無重力状態が与える影響を観測する生物実験を行った。	88	n103101d							
11/01 07:00:00	【今日の人工衛星】11/1 1962年：マルス1号 旧ソ連の火星探査機。設計はベネラ金星探査機を流用。1963年3月21日に通信が途絶し、火星探査は断念された。通信途絶の原因は姿勢制御の異常と考えられている。	104	n110101d							
11/02 07:00:00	【今日の人工衛星】11/2 1965年：プロトン2号 旧ソ連の人工衛星。地球低軌道上で高エネルギーの宇宙線を観測。重量は12tもあった。打上ロケットは現在のプロトンロケットの初期モデルである	95	n110201d							
11/03 07:00:00	【今日の人工衛星】11/3 1973年：マリナー10号 アメリカの水星・金星探査機。マリナー計画の最後の探査機であり、人類初の水星探査、スイングバイの活用を行った探査機。	85	n110301d							
11/04 07:00:00	【今日の人工衛星】11/4 1981年：ベネラ14号 旧ソ連の金星探査機。着陸ミッションとしては最後のベネラ。13号とほぼ同時期に打ち上げられた。金星に着陸後岩石の成分や地震計による振動の計測などに成功。	102	n110401d							
11/05 07:00:00	【今日の人工衛星】11/5 1964年：マリナー3号 アメリカの火星探査機。ロケット先端のシュラウドが外れず、太陽電池パネルを開くことが出来ず、電池切れと共に機能停止。火星軌道への投入は失敗。	96	n110501d							
11/06 07:00:00	【今日の人工衛星】11/6 1966年：ルナ・オービター2号 アメリカの月探査機。アポロ計画の着陸地点調査を目的とした。1号～3号は、地球からの観測で選ばれた20ヶ所の着陸候補地を低傾斜角軌道で撮影、4,5号が月全体の地図を作成	114	n110601d							
11/07 07:00:00	【今日の人工衛星】11/7 1996年：マーズ・グローバル・サーベイヤー アメリカの火星探査機。極軌道上からの写真撮影や高度測定により火星の詳細な地図を作成。成果は後の探査計画にも活用された	95	n110701d							
11/08 07:00:00	【今日の人工衛星】11/8 1968年：パイオニア9号 アメリカの太陽探査機。地球より内側の軌道を公転しながら、太陽風などを観測。	65	n110801d							
11/09 07:00:00	【今日の人工衛星】11/9 2005年：ビーナス・エクスプレス 欧州宇宙機関ESAの金星探査機。金星探査機は欧州としては初。金星の大気を観測。当初は日本の探査機「あかつき」との共同観測も予定されたが、あかつき到着の前の2014年12月に運用終了。	123	n110901d				20170515	修正		
11/10 07:00:00	【今日の人工衛星】11/10 1970年：ルナ17号 旧ソ連の月探査機。世界で初めて月面車(ルノホート1号)を搭載。11ヶ月にわたり10km以上の距離を走行し調査を行った	85	n111001d							
11/11 07:00:00	【今日の人工衛星】11/11 1966年：ジェミニ12号 アメリカ・ジェミニ計画の最後の打上。それまで完全に成功とは言えなかった船外活動（宇宙遊泳）の実験に成功し、アポロ計画に必要な技術を習得した。	99	n111101d							
11/12 07:00:00	【今日の人工衛星】11/12 2005年：MINERVA 小惑星探査機はやぶさに搭載された小惑星探査機。2005年にはやぶさから分離されるも着陸は出来ず。18時間にわたりデータを送信し、はやぶさの写真等を地球に送った	108	n111201d							
11/12 07:01:00	【今日の人工衛星】11/12 1981年：STS-2 スペースシャトル2回目の飛行。有人の宇宙船として初めて再び宇宙に到達。ジョー・エングル船長・リチャード・トゥルーリー操縦士ともに初の宇宙飛行で、最後の全員新人によるミッションとなった	118	n111202d							
11/13 07:00:00	【今日の人工衛星】11/13 1996年：Arabsat 2B アラブ衛星通信機構による通信衛星。アリアン4ロケットで打上、現在も稼働中。中東・サハラ以北のアフリカ・地中海沿岸をカバー。	93	n111301d							
11/14 07:00:00	【今日の人工衛星】11/14 1969年：アポロ12号 アメリカの有人月探査ミッションの2回目。予備乗員達が、飛行士のチェックリストの中にPLAYBOYのグラビアをこっそり忍ばせたため、初めて月にグラビアが持ち込まれた事になった	114	n111401d							
11/15 07:00:00	【今日の人工衛星】11/15 1999年：みらい/H-IIロケット8号機 ひまわり5号の代替となる衛星となる予定だったが打上が失敗。LE-7エンジンは3000mの海底から回収・分析され、その経験は現行のLE-7Aエンジンに活かされている	118	n111501d	J_H2	8	J_H2_8				
11/15 16:29:00	★1999年の今日11/15 16:29、H-IIロケット8号機によって行われた運輸多目的衛星1号(みらい)の打ち上げは、LE-7エンジンの異常停止により失敗。異常を起こしたLE-7エンジンは3000mの海底から回収・分析され、現行のLE-7Aエンジンに活かされた	132	n111501t1	J_H2	8	J_H2_8				
11/15 07:01:00	【今日の人工衛星：番外編】11/15 1967年：X-15の191回目の飛行において事故が発生、アダムス飛行士は死亡。アメリカの宇宙空間の定義(高度50マイル)上の「宇宙飛行事故」。ただし、国際的には高度100km以上が宇宙空間。	115	n111502d							
11/16 07:00:00	【今日の人工衛星】11/16 1973年：スカイラブ4号 アメリカ初の宇宙ステーション「スカイラブ」へ乗員を送り込んだ最後のミッション。乗員は84日間滞在し、翌1974年2月8日に帰還した。	95	n111601d							
11/17 07:00:00	【今日の人工衛星】11/17 2007年：Sirius 4 (Astra 4A) SES Sirius AB社の所有するスウェーデンの通信衛星。欧州・アフリカ大陸を幅広くカバーする。	91	n111701d							
11/18 07:00:00	【今日の人工衛星】11/18 1989年：COBE 宇宙背景放射探査機。ビッグバンの名残である宇宙背景放射を全天で4年間にわたり精密に観測。背景放射の揺らぎを発見した。	84	n111801d							
11/19 07:00:00	【今日の人工衛星】11/19(UTC,日本時間20日4:46) 1997年：STS-87 コロンビア号の打上。搭乗した土井隆雄宇宙飛行士が、日本人初となる船外活動を実施。太陽観測衛星の回収などのミッションに成功。	106	n111901d							
11/20 07:00:00	【今日の人工衛星】11/20 1998年：ISS(ザーリャ) 国際宇宙ステーション。この日に最初のモジュール「ザーリャ」が打ち上げられた。アメリカの資金でロシアが製造。設計寿命は15年だが2020年までは使用可能とされている	112	n112001d							
11/21 07:00:00	【今日の人工衛星】11/21 2000年：Munin スウェーデンのオーロラ観測衛星。重さ6kgの立方体の形をした衛星で、学生が製作した。NASAの地球観測衛星EO-1と相乗り打上。	91	n112101d							
11/22 07:00:00	【今日の人工衛星】11/22 1998年：BONUM-1 ロシアの放送衛星。米・ヒューズ社(現・ボーイング)が初めてロシア向けに製造した衛星。打上もアメリカのデルタロケットで行われた。	92	n112201d							
11/23 07:00:00	【今日の人工衛星】11/23 1989年：STS-33 ディスカバリー号の9回目のフライト。5日間の飛行で、主目的は軍事衛星の打ち上げだった。	71	n112301d							
11/24 07:00:00	【今日の人工衛星】11/24 2002年：STS-113 エンデバー号の19回目、国際宇宙ステーションの建築16回目のフライト。P1トラスを輸送し設置。コロンビア号事故の前の最後の打ち上げだった。	98	n112401d							
11/25 07:00:00	【今日の人工衛星】11/25 1975年：Bion 3 旧ソ連が打ち上げた科学衛星。生物実験を行った。旧ソ連とアメリカの協定に基づき、初めてアメリカの実験モジュールが搭載された回でもある。	94	n112501d							
11/26 07:00:00	【今日の人工衛星】11/26 1989年：Kvant 2 旧ソ連が打ち上げたミール宇宙ステーションのモジュール。3個目のモジュールに当たり、姿勢制御・生命維持機能を強化、船外活動用のエアロックを追加した。	102	n112601d							
11/27 07:00:00	【今日の人工衛星】11/27(UTC,日本時間28日6:27) 1997年：きく7号(おりひめ・ひこぼし) 軌道上での人工衛星の自動ランデブー・ドッキング技術を習得した衛星。この技術は後にHTV(こうのとり)にも活用、高い評価を得た。	117	n112701d	J_H2	6	J_H2_6				
11/28 06:27:00	★1997年の今日11/28 6:27、H-IIロケット6号機できく7号(おりひめ・ひこぼし)と熱帯降雨観測衛星TRMMが打ち上げられました。	71	n112701t1	J_H2	6	J_H2_6				
11/27 07:01:00	【今日の人工衛星】11/27(UTC、日本時間28日6:27) 1997年：TRMM 日本の打ち上げた熱帯降雨観測衛星。熱帯域の降雨状況を観測。当初予定の寿命3年を越えても安定して動作、2014年打上のGPM打上まで16年以上運用され、2015年に完全に運用を停止した。	135	n112702d	J_H2	6	J_H2_6	20170515	修正		
11/28 07:00:00	【今日の人工衛星】11/28 2009年：情報収集衛星光学3号機(IGS-5A) 日本の事実上の偵察衛星の(失敗分を含めて)8機目。分解能は60cm級とされる。H-IIAロケット16号機で打上。2017年9月に運用停止。 https://www.cas.go.jp/jp/houdou/pdf/170915satellite.pdf	166	n112801d	J_H2A	16	J_H2A_16	20170920	修正		
11/28 10:21:00	★2009年の今日11/28 10:21、H-IIAロケット16号機で情報収集衛星光学3号機(IGS-5A)が打ち上げられました。	65	n112801t1	J_H2A	16	J_H2A_16				
11/29 07:00:00	【今日の人工衛星】11/29 2003年：情報収集衛星光学・レーダー2号機(IGS-2A/B) H-IIAロケット6号機で打上たが、SRB-Aの分離失敗によりロケットが指令破壊され喪失。これ以降実証衛星以外の2機同時打上は行われなくなった	119	n112901d	J_H2A	6	J_H2A_6				
11/29 13:33:00	★2003年の今日11/29 13:33、H-IIAロケット6号機によって行われた情報収集衛星光学・レーダー2号機(IGS-2A/B)の打ち上げは、SRB-Aの分離失敗により失敗。これ以降実証衛星以外の2機同時打上は行われなくなった。	117	n112901t1	J_H2A	6	J_H2A_6				
